,Country,Region,2015Happiness,2015GDP,2015Generosity,2015Trust (Government Corruption),2016Happiness,2016GDP,2016Generosity,2016Trust (Government Corruption),2017Happiness,2017GDP,2017Generosity,2017Trust (Government Corruption),2018Happiness,2018GDP,2018Generosity,2018Trust (Government Corruption),2019Happiness,2019GDP,2019Generosity,2019Trust (Government Corruption),2020Happiness,2020GDP,2020Generosity,2020Trust (Government Corruption),2021Happiness,2021GDP,2021Generosity,2021Trust (Government Corruption)
84,Dominican Republic,Latin America and Caribbean,4.885,0.89537,0.21684,0.14234,5.155,1.02787,0.21286,0.12372,5.230000019,1.079373837,0.18696785,0.113945253,5.302,0.982,0.12,0.106,5.425,1.015,0.113,0.101,5.689199924,0.983191848,0.112196781,0.755999923,5.545,1.106,0.101,0.714
85,Mongolia,Eastern Asia,4.874,0.82819,0.3323,0.02666,4.907,0.98853,0.34539,0.03285,4.954999924,1.027235866,0.33846423,0.032902289,5.125,0.914,0.253,0.032,5.285,0.948,0.235,0.038,5.456200123,0.904872775,0.263885736,0.863511205,5.677,0.966,0.263,0.856
86,Greece,Western Europe,4.857,1.15406,0,0.01397,5.033,1.24886,0,0.04127,5.227000237,1.289487481,0,0.043289777,5.358,1.154,0,0.044,5.287,1.181,0,0.034,5.514999866,1.128070116,0,0.859931409,5.723,1.273,0,0.823
87,Lebanon,Middle East and Northern Africa,4.839,1.02564,0.21854,0.04582,5.129,1.12268,0.23693,0.03061,5.224999905,1.074987531,0.264450759,0.03751383,5.358,0.965,0.214,0.136,5.197,0.987,0.166,0.027,4.771500111,0.889232516,0.158524141,0.90225625,4.584,1.045,0.14,0.898
88,Hungary,Central and Eastern Europe,4.8,1.12094,0.128,0.02758,5.145,1.24142,0.099,0.04472,5.323999882,1.286011934,0.078401662,0.036636937,5.62,1.171,0.061,0.022,5.758,1.201,0.081,0.02,6.000400066,1.164307117,0.070491239,0.892916501,5.992,1.301,0.067,0.876
89,Honduras,Latin America and Caribbean,4.788,0.59532,0.23027,0.06825,4.871,0.69429,0.2044,0.06906,5.181000233,0.730573118,0.236188874,0.073345453,5.504,0.62,0.197,0.074,5.86,0.642,0.246,0.078,5.953199863,0.598763585,0.256528199,0.801131904,5.919,0.703,0.241,0.809
90,Tajikistan,Central and Eastern Europe,4.786,0.39047,0.22974,0.15072,4.996,0.48835,0.25998,0.13509,5.040999889,0.524713635,0.248997644,0.146377146,5.199,0.474,0.187,0.034,5.467,0.493,0.23,0.144,5.555699825,0.474874616,0.182417125,0.592076063,5.466,0.508,0.152,0.553
91,Tunisia,Middle East and Northern Africa,4.739,0.88113,0.06431,0.06358,5.045,0.97724,0.03936,0.0817,4.804999828,1.007265806,0.049693357,0.086723149,4.592,0.9,0.04,0.063,4.461,0.921,0.059,0.055,4.392199993,0.874742687,0.055881143,0.867590249,4.596,0.919,0.057,0.87
92,Palestinian Territories,Middle East and Northern Africa,4.715,0.59867,0.11251,0.12905,4.754,0.67024,0.11154,0.10613,4.775000095,0.716249228,0.114173174,0.089282602,4.743,0.642,0.086,0.076,4.696,0.657,0.103,0.066,4.552800179,0.587819219,0.091816261,0.824199975,4.517,0.646,0.082,0.821
93,Bangladesh,Southern Asia,4.694,0.39753,0.21222,0.12569,4.643,0.54177,0.19132,0.12583,4.607999802,0.586682975,0.172255352,0.123717859,4.5,0.532,0.153,0.144,4.456,0.562,0.166,0.143,4.832799911,0.556156278,0.176745117,0.661843538,5.025,0.635,0.161,0.682
94,Iran,Middle East and Northern Africa,4.686,1.0088,0.38086,0.05863,4.813,1.11758,0.38538,0.0557,4.691999912,1.156873107,0.387242913,0.048761073,4.707,1.059,0.282,0.129,4.548,1.1,0.27,0.125,4.672399998,1.029322505,0.27697894,0.714635968,4.721,1.03,0.33,0.714
95,Ukraine,Central and Eastern Europe,4.681,0.79907,0.15275,0.02961,4.324,0.87287,0.20363,0.01829,4.096000195,0.894651949,0.270061463,0.023029471,4.103,0.793,0.187,0.011,4.332,0.82,0.187,0.01,4.56069994,0.780434608,0.178551316,0.920636714,4.875,0.979,0.181,0.924
96,Iraq,Middle East and Northern Africa,4.677,0.98549,0.17922,0.13788,4.575,1.07474,0.19589,0.13636,4.497000217,1.102710485,0.199637264,0.107215755,4.456,1.01,0.148,0.095,4.437,1.043,0.148,0.089,4.784800053,0.982018709,0.153002068,0.82226181,4.854,0.91,0.153,0.875
97,South Africa,Sub-Saharan Africa,4.642,0.92049,0.11973,0.08884,4.459,1.02416,0.13656,0.08415,4.828999996,1.054698706,0.13936238,0.072509497,4.724,0.94,0.103,0.056,4.722,0.96,0.13,0.055,4.814099789,0.902140439,0.126406848,0.843423843,4.956,0.967,0.144,0.86
98,Ghana,Sub-Saharan Africa,4.633,0.54558,0.23087,0.04355,4.276,0.63107,0.21203,0.0326,4.119999886,0.667224824,0.256923944,0.02533637,4.657,0.592,0.212,0.029,4.996,0.611,0.245,0.04,5.147999763,0.575862467,0.261291206,0.847964764,5.088,0.68,0.268,0.848
99,Zimbabwe,Sub-Saharan Africa,4.61,0.271,0.18987,0.08079,4.193,0.35041,0.18503,0.08582,3.875,0.375846535,0.189143494,0.095375381,3.692,0.357,0.132,0.099,3.663,0.366,0.151,0.089,3.299200058,0.425564021,0.151349187,0.81023699,3.145,0.457,0.157,0.821
100,Liberia,Sub-Saharan Africa,4.571,0.0712,0.24362,0.06232,3.622,0.10706,0.24063,0.04852,3.532999992,0.119041793,0.266549885,0.038948249,3.495,0.076,0.206,0.03,3.975,0.073,0.233,0.033,4.557899952,0.174103007,0.226967871,0.856375933,4.625,0.228,0.221,0.85
101,India,Southern Asia,4.565,0.64499,0.26475,0.08492,4.404,0.74036,0.25028,0.08722,4.315000057,0.792221248,0.231538489,0.092226885,4.19,0.721,0.172,0.093,4.015,0.755,0.2,0.085,3.573299885,0.730576158,0.237072483,0.772042692,3.819,0.741,0.246,0.774
